title,lastrevid
Shinichiro Kurimoto,1243242066
Sione Tupou Mateialona,1222110849
Stasys Lozoraitis Jr.,1250554072
Thierry Poyet,960140393
Touch Kim,1243811146
Vasil Chichibaba,1215313341
Álvaro de Luna,1243332684
Abdul Salam Zaeef,1243758857
Addy Valero,1246247019
Adil Arslan,1221969287
Adrian Albu,1201441837
Ahmet Çakır,1182493796
Ali Ahmad Nasser al-Dhahab,1106368440
Andrei Ivanțoc,1194205679
Bartolo Pellegrino,1233899759
Bolesław Fleszar,1226773450
Borwornsak Uwanno,1164622554
Božidar Bojović,1245226687
Brahim Boutaleb,1243832092
Brigitta Pallauf,1215184008
Charles de Varigny,1242210186
Daniel Suidani,1244108597
David Levi (Italy),1216755182
Duminga Ndala,1217984989
Dámaso Centeno,1245130520
Erik Sparre,1250546396
Gumercinda Páez,1228695766
Jerzy Derkacz,1101737672
Josefina Stubbs,1088363736
José Gálvez Paz,1246361141
José Jacinto Van-Dúnem,1242841039
Juan Pablo Schiavi,1195011460
Julian Klaczko,1193917777
Julián de Leyva,1234698824
Keijo Liinamaa,1224595301
Kiyoharu Ishiwata,1238651325
Kunzang C. Namgyel,1157055139
Louis-Joseph Seutin,1233472654
Manuel Neto da Costa,1209411144
María Teresa Obregón Zamora,1248921822
Mduduzi Bacede Mabuza,1240717930
Melford Nicholas,1241592535
Mounira Solh,1216097644
Nicolaas Waterboer,1215486445
Nikolai Yegorov (politician),1180943494
Nyo Nyo Thin,1169933560
Paul Arcelin,1248663780
Pavel Astakhov,1221607645
Rasih Dino,1180949327
Roberto Molina Barreto,1244829604
Salko Bukvarević,1152217397
Tadashi Lometo,1215918232
Teodoro Cottrau,1221097725
Xavier Enderica,1231714844
Yahya Mohamed Abdullah Saleh,1223542345
Yusuf Datti Baba-Ahmed,1242968401
Ziad Al-Zaza,1149337843
'Abd al-Razzaq al-Hasani,1238643436
Abdullah Rimawi,1248662982
Abdullah bin Faisal Al Saud (1831–1889),1245670134
Adomas Ąžuolas Audickas,1156077882
Ahmed Abdul-Ghafur,1210659335
Amangeldy Shabdarbayev,1243509989
André Simonazzi,1245560647
Andrés Jouannet,1232904571
Antonio Misiani,1237110647
Atheel al-Nujaifi,1240203288
Aurelio Hevia,1234522185
Chob Yodkaew,1067190492
Danda Mohamed Kondeh,1229753869
David Hess (painter),1191616390
Edwin Escobar Hill,1102909542
Fernando Cillóniz,1246359128
Franklin Franco,1145626271
Friedrich Niggol,1250774229
Gail Christian,1241563122
Gheorghe Malarciuc,1200667979
Hayati Vasfi Taşyürek,1231639260
Ilham Madatov,1011331249
Jay N. Shih,1191671988
Jorge Jardim,1249374119
Joseph Bol Chan,1195579149
José Joaquín Mora Porras,1220914322
Juan Vicente Villacorta,1232029588
Khaled Aly el-Bakly,1221811539
Khalid Al Mawali,1248475848
Khamphoui Sisavatdy,1240657890
Khin Maung Swe,1234386190
Koloso Sumaili,1053666295
Leopoldo Zunini,1108571793
Mackenzie Frank,1247632329
Mubarak Al-Zwair,1223430952
Naeimeh Eshraghi,1146728728
Olfa Hamdi,1250280459
Panko Brashnarov,1240046381
Pierre Emmanuel Félix Chazal,1237243541
Pierre Ngayewang,1177650598
Rashid Nugmanov,1237602556
Serhiy Berezenko,1229476867
Sua Rimoni Ah Chong,1244197213
Tibor Bastrnák,1241436480
Ticio Escobar,1231524781
Valentina Quiroga,1230256788
Vartkes Serengülian,1214669611
Voĺha Karač,1234751055
Wallace Cosgrow,1208919956
Zbignev Balcevič,1226768374
Abd Al-Rahman Ali Al-Jifri,1144463695
Abdessamad Archane,1245185308
Adilgerei Magomedtagirov,1250125510
Ahmed Abu Risha,1240338355
Ahmed Emad El-Din Radi,1190632866
Ali Aoun,1214835889
Alvin Jacklick,1190558199
Andrea Maffei,1220326043
Andriy Beshta,1210899128
Aurora Estrada y Ayala,1216930716
Bajram Hasani,1215647320
Carolina Cerqueira,1241977204
Cvetko Veljković,1133928574
Damir Nikšić,1245042669
Eduard von Schele zu Schelenburg,1231553871
Ellen Johnson Sirleaf,1244504845
Erik Carlsson Sjöblad,1009863371
Filoteo Samaniego,1228185877
Francesco Saverio Starrabba Barbera,1182568902
Francis E. Waive,1226013667
Franciszek Bajorek,1242470999
Frédéric-César de La Harpe,1244058843
Grzegorz Antoni Ogiński,1180638831
Hong Moon-jong,1228163146
Hrant Maloyan,1250311867
Hyder Bux Jatoi,1250596353
Igor Simić,1222149894
Jager Afrikaner,1229945721
Joana Amaral Dias,1243626811
Joaquín Samuel de Anchorena,1227458965
José Joaquín de Viana,1238088449
Julio Guzmán,1250035781
Junji Nishime,1245711085
Kamougue Assoum,1195939436
Luís Marques Guedes,1213930585
Narine Tukhikyan,1233470777
Nino Konis Santana,1226226208
Noël K. Tshiani Muadiamvita,1226227200
Oralbeg Abdu Kerimovic,1067021356
Paul Pondi,1242817206
Pierre Goura,1177650425
Predrag Bulatović,1158653391
Ramón Vega Hidalgo,1193587402
Roberto Sánchez Palomino,1231916423
Saleh Ali Al-Kharabsheh,1244979778
Shigeru Sahashi,1116237993
Tony Ene Asuquo,1246548727
Vittorio Fossombroni,1250763804
Willy Kuijpers,1105018002
Ľubomír Dolgoš,1207710646
Abu Bakr al-Baghdadi,1249134858
Abul Kalam Shamsuddin,1246347372
Ahmed Mestiri,1246087732
Alfons Siffer,1044386557
Anna Shiweda,1234683725
Aníbal Delgado Fiallos,1173755289
Ayo Fasanmi,1247053005
Carlos Mario Álvarez,1245234693
Davut Gül,1173826642
Dechen Wangmo (politician),1198222416
Dhir Shumsher Rana,1236923553
Désiré Kolingba,1226461295
Eugene Lenn Nagbe,1240163802
Fernando Iglesias (Argentine politician),1217866134
Giuseppe Perrucchetti,1224554137
Hasan Majidov,1236490430
Henrik Landerholm,1250601426
Ibrahim Karbunara,1235824719
Ilija Šumenković,1160296340
Ingo della Volta,1249845428
Ivan Lesay,1224200607
Jacob Magnus Sprengtporten,1235736355
Jahangir Mamatov,1158281467
Jieng Council of Elders,1234296589
John Dean Kuku,1146487474
Joseph Cimpaye,1247008320
José Richa,1248725167
Jules Solime Milscent,1244840590
Levy Yakete,1229277170
Maria Claudia Lacouture,1199118382
Massimo Tononi,1147948912
Maurice d'Hartoy,995050241
Miguel Mejía (politician),957199596
Milou Jeunehomme,1136573750
Mónica López (politician),797826672
Nadežda Čačinovič,1220422575
Park Kwang-on,1248053988
Patrick Asadu,1236133136
Petr Cibulka,1210656703
Prince Carl of Solms-Braunfels,1237091760
Rafael Pucić,1242200763
Rajnikant Maheshwari,1240427204
Salisu Abubakar Maikasuwa,1246234621
Sanjay Kumar Mahato,1238726493
Saya Gyi U Nu,1235897720
Sibongile Nkomo,1158222491
Stafford Parker,1228912274
Thabo Mbeki,1249110529
Theodore Barcroft L. Moonemalle,1247654120
Vytautas Kolesnikovas,1098843848
Aiva Vīksna,1250733174
Anwarul Karim Chowdhury,1245395466
Arkiely Perfecto,1246246976
Bernice Dahn,1065553283
Bommidi Narayana Nayakar,1232500872
Brigitte Girardin,1208933505
Chu Văn An,1244809536
Denis de la Reussille,1179851210
Dharmaraju Patsamatla,1248644798
Dhoihir Dhoulkamal,1196223038
Elfreda Reyes,1225001639
Fernando Londoño,1246255201
Fiel Domingos Constantino,1217387083
Galo Lara,1227282963
Hassan Shojaei Aliabadi,1234712624
Hosea Kiplagat,1100826472
Ibrahim Omer,1225914040
Irungu Kang'ata,1236683996
Jaime de Zudáñez,1229058411
Jan Chryzostom Czapski,1185774040
Jonas Mačys,1190766203
Kazutoshi Sasayama,1167712836
Khalfan bin Saeed bin Mubarak al-Shueili,1241250091
Krishna Kumar B.C.,1152130342
Kunda Kamara,1244830178
Kweon Seong-dong,1219159232
Lola Voronina,1163661885
Mahmud Qabadu,1174232532
Makhmud Mamed-Guliev,1243510539
Marcel de Baer,1221734112
Matsudaira Tarō,1106377935
Mehmet Fatih Kacır,1231760594
Mohamed Ismail,1214429734
Mustapha Masmoudi,1156977351
Nicolas Ghosn,1239828763
Nicolas Théodore de Saussure,1245494910
Padipat Suntiphada,1246289890
Pavlo Matvienko,1246362611
Pero López de Ayala,1150849598
Rangsiman Rome,1249147389
Reeko Moosa Manik,1227781579
Rosendo Collazo,1245672019
Sixta Pontón de Santander,1247090171
So Nem,1243811102
Stojimir Dobrosavljević,1241316637
Sény Camara,1231187957
Yusuf Ali Chowdhury,1228415190
Zahoor Hussain Khoso,1200588895
Zamani Saul,1212693522
Čedomir Marjanović,1165566258
Abdelhadi Boutaleb,1245185566
Abdurrahman Başkan,1244340264
Adnan al-Zurfi,1249655896
Ahmad Al Tayer,1177332322
Aishath Shiham,1239447378
