title,lastrevid
Mir Dariya Khan Khoso,1213788166
Mohamed Huka Adan,1246061448
Mohammad Sarwar Ahmedzai,1176429234
Mohammed Yahya,1214335942
Momodou Sabally,1243625627
Moosa Zameer,1249583931
Naohiro Dōgakinai,999738906
Panta Draškić,1241316628
Réka Szemerkényi,1121161249
Salem Al-Ali Al-Sabah,1241175409
Salome Joseph Mbatia,1152809878
Sebastian Okechukwu Mezu,1164841567
Sérgio Humberto,1241673637
Tadesse Birru,1247092369
Tadeusz Górczyk,1106137366
Thein Maung,1238454181
Uładzimir Hančaryk,1105545058
Vicente José Gregorio Díaz Silva,1242413774
Wilfred Jacobs,1246340247
Zhagda Babalykov,1210320561
Abdul Ghafoor Khan Durrani,1212854333
Abdul Sattar Mirzakwal,1145249317
Aboubakr Belkaid,1176411375
Ajoy Edwards,1249079014
Anders Henriksson (politician),1095370812
Andrew Kuan,1173399298
Balarabe Shehu Kakale,1246220838
Carlo Romussi,1199074733
Cassam Ajum Piperdy,1217999545
Cipriano Pérez y Arias,1227718585
Craig Ondarchie,1230349981
Dieter Steger,1230317226
Fernando Cordero Rusque,1246582796
Fotini Dekazou Stefanopoulou,1188372971
Garaad Abdulahi Garaad Soofe,1185995272
Goritsa Grancharova,1244496816
Hubert Klausner,1242810704
Ishkhan Saghatelyan,1243510830
J. G. Philipsz Panditaratne,1184818193
Jorge Coscia,1227459720
Joséphine Drabo Kanyoulou,1188917017
"Juan Francisco de la Cerda, 8th Duke of Medinaceli",1180262117
Jules-Armand Aniambossou,1248386169
Julián Elorza Aizpuru,1240818582
Kitaw Ejigu,1246978732
Laurent Anselmi,1228785159
Louis Joseph Coralie,1058307177
Luis Graterol Caraballo,1248971751
Mariana Yumbay,1244174358
Max Mnkandla,1007344798
Michael Killisch-Horn,1106829544
Michael Opeyemi Bamidele,1248817751
Mostafa Madbouly,1248662813
Mufti Abdullah,1127228239
Musa al-Husayni,1239246704
Natália Bastos Bonavides,1246064882
Neoklis Sarris,1179418320
Nkeiruka Onyejeocha,1177240756
Norbert Zafimahova,1245504666
Pedro Angulo Arana,1246359023
Piotr Feliks,1072834360
Qutbuddin Hilal,1246566795
Renato Florentino,1243219659
Rustam Effendy Nainggolan,1136442271
Tamaš Hryb,1217471500
Théodore Ducos,1150936922
Traianos Nallis,1247683483
Vladimir Kozlov (politician),1223024525
William Ellawala,1225851585
Xavier Zablah Bukele,1241139820
Abdirahman Dahir Osman,975462878
Ahmad Wali Massoud,1221720658
Ahmed bin Saeed Al Maktoum,1248018288
August De Boodt,1140361651
Baktash Siawash,1236603169
Bekithemba Mpofu,1085044064
Belén de Sárraga,1225826824
Botche Candé,992221311
Claudio Zolla,1246361993
Daniel Okungbowa,1246220482
Devendra Pratap Singh (UP politician),1247361412
Ernesto Macías Tovar,1213699898
Ferdinando Palasciano,1217687661
Francesco Domenico Guerrazzi,1238499858
Hani Khasawneh,1248954916
Hassan Moalim,1223156433
Hippolyte Rolin,1029822060
Hishamuddin Rais,1184798433
Jean-Henry-Louis Greffulhe,1171320970
Joselyn Kamateneti,1214447984
Joseph Skaff,1241392541
Juana de J. Sarmiento,1245238707
Kai G. Farley,1211141929
Kingo Machimura,1227862133
Koona Ravi Kumar,1249860212
Manasseh Magok,1217520697
Michel Gueu,1219746004
Mohamed Ali Soilihi,1136366247
Nieves Limachi,1246358938
Osama Al Saadawi,1242025783
Paul Dlamini,1224038773
Paul Oquist,1176191073
Pedro Paulino de Fonseca,1217010787
Roberto Poblete,1246286451
Roger Windels,1185742670
Roozbeh Farahanipour,1247711258
Ruslan Khasbulatov,1246697244
Ruth Oniang'o,1234809644
Sahil Babayev,1207600921
Thomas Prinzhorn,1215185462
Toshibumi Tanaka,1227422669
Vasile Iovv,1232593134
Vasile Parasca,1232773668
Vladimír Oplt,1193837597
Wajeeh Qassim,1242025811
Walter Kälin,1186854964
Yakov Matakiev,1180593616
Zmitser Dashkevich,1244903816
Zulfiqar Halepoto,1184354734
AKM Fazlul Haque (Jatiya Party politician),1245402550
Abdul Halim Ghaznavi,1237265302
Adolf Bühler Jr.,1158603291
Ali Golmoradi,1245508009
Alpha Timbo,971644466
Amadou Damaro Camara,1138773088
Arnauld Antoine Akodjènou,1170437413
Aurelio Saliceti,1225180530
Beverly Castillo,1171859695
Bunsong Noisophon,1250305357
Cândido Mendes de Almeida,1238920549
Denys Maslov,1239094096
Erick Mutai,1162972455
Fletcher Dulini Ncube,1236276553
Gilberto Correia Carvalho Silva,1101613548
Gitonga Kabugi,1230055387
Hasan Reşit Tankut,1177411296
Hersi Ali Haji Hassan,1246274637
Hussein al-Tahan,1147928697
Javier María Pascual Ibañez,1249112719
Jeremiah Sulunteh,1249835446
Jude Perera,1240127199
Jules Mutebutsi,1220065911
Julie Manning,1216899017
Ján Kollár,1228887791
Józef Berger,1236850450
Majah Ha Adrif,1233202991
Marian Moszoro,1191678421
Mehmed Kapetanović,1245241762
Mihail Druță,1232591884
Moeen Marastial,1246567093
Moses Shipi,1186613019
Narayan Prasad Dahal,1241634031
Nazar Soýunow,1192452374
Nguyễn Văn Huyền,1241609893
Renewal Bloc,1194299690
Richard Hancco,1232445054
Roberto Arzú,1228262014
Rony Célestin,1127705961
Rosalvo Bobo,1221928174
Rustam Effendi,1221012165
Sani Yaya,1194998590
Sao Seng Suk,1210083818
Sarina Nathan,1219721377
Sergio Zarzar Andonie,1037723664
Sunusi Musa,1214808205
Thierno Aliou,1025501033
Ursula Mauch,1195570688
Wilson Tumwine,1142485232
Yamandú Orsi,1250416713
Abdallahi ibn Muhammad,1193384074
Abdou Soulé Elbak,1247353598
Abdul Ghani Ghani,1227026187
Abdul Majid Samim,1225425205
Adedayo Omolafe,1177285621
Adjie Massaid,1232167137
Adnan al-Assadi,1168509455
Ahmed Tlili,1100681508
Alfredo Hornedo,1242375755
André Kerhervé,1152185896
Anita Subhadarshini,1238063554
Armand-Pierre Angrand,1061043624
Augusto Severo de Albuquerque Maranhão,1168433608
Bathula Balaramakrishna,1232500619
Birger Brosa,1242448620
Carl Heinrich Wilhelm Hagen,1226188291
Carlos Boloña,1246361701
Daryatmo,1250748962
Ekperikpe Ekpo,1249260265
Enanga Kebbi,1219533774
Goran Rakić,1250189215
Hasan Seyidov (scientist),1198202282
Ivan Cankar,1245475637
Joseph Guinard,1226313448
José Díaz de Bedoya,1216770558
Kathuri Murungi,1246062159
Kazimierz Tyszka,1183807619
Konni Zilliacus (senior),1244155264
Louis Jacques Senghor,1093235015
Martine Hansen,1249941459
Maurice Nyagumbo,1225102400
Michał Józef Römer,1228850625
Miguel Andonie Fernández,1219318782
Mustapha Baba Shehuri,1244587845
Nico Cué,1226437075
Osama Mazini,1237977575
Pablo Mieres,1234857670
Paul Elvinger,1228734072
Pavle Gregorić,1226126469
Raed Salah,1242629866
Robert Rey (plastic surgeon),1249338218
Said Tayeb Jawad,1248976824
Samuel Aru Bol,1240695162
Sulayman Al-Taji Faruqi,1247826532
Tạ Quang Bửu,1224595798
Vamsi Krishna Gaddam,1246494673
Vroni Thalmann-Bieri,1244066243
Yury Zaostrovtsev,1246393275
Yvonne Lindholm,1222574845
Đinh Xuân Quảng,1238293364
A. Wahab,1213828687
Achkar Marof,1172887309
Afonso Dhlakama,1240532685
Alireza Kazemi,1244126349
Antonio Gutiérrez y Ulloa,1232042818
Araz Alizadeh,1246060446
Armin Mohler,1245358961
Bongani Msomi,1168741905
Florencio del Castillo,1208171356
Heah Joo Seang,1248625537
Ian Gooding-Edghill,1245455194
Ivan Besedin,1248500850
Jacob Kuwinsuk Gale,1108503934
Jamil Mezher,1242788590
Jerzy Dietl,1102717331
Josef Ježek,1220213589
José Joaquín Chaverri Sievert,956297870
Julien Leonardelli,1244346386
Kenneth John,1177305044
Kostadin Kostadinov (professor),1215315664
Kwak Sang-hoon,1245683465
Malek Bin Sulaiman Al Ma'amari,1249356132
Mar'i Pasha al-Mallah,1210271884
Mateo Qares,1244548143
Maurice Colrat,1143025717
Mohammed Sajid (politician),1245188824
Mohit Beniwal,1244482122
Mohsen Badawi,1226333719
Myriam Dossou D'Almeida,1244179914
Naseer Khan Khoso,1229384884
Olimzhon Boboyev,1161594734
Oloye Akin Alabi,1244486498
Omar Ismail Waberi,1140507231
Orbán Kolompár,1246289515
Paul Rechsteiner,1250258921
Roberto Álvarez Gil,1243351560
Rosanna Minozzi,1244868290
Sao Sanda,1210083781
Sukmawati Sukarnoputri,1249855295
Sunday Cyriacus Umeha,1247120279
Tawfiq Bay,1219730900
Teodorico Bonacci,1206348950
Theodor Ab Yberg,1162340000
Timothy Donaldson,1245586658
Vassilis Rotas,1220371513
Viktor Anpilov,1248959632
Yadh Ben Achour,1206421193
Yolande Ebongo Osongo,1226028337
Youcef Belmehdi,1239235131
Yousef al-Kalabi,1249037984
8th National Assembly of Slovenia,1249160149
Adem Hodža,1244603844
Adolfo Mendoza,1214469646
Ahmed Hilmi Pasha,1249983397
Alexander Radkov,1216932338
Andargachew Tsege,1192804898
António Alves Martins,1168807397
Asako Okai,1250373190
Balach Marri,1249885794
Deividas Matulionis,1246139601
Dramane Dembélé,1106209182
Dávid Bélaváry,1189139711
Eduard August Rübel,1246874348
Evans Lescouflair,1206969587
Garib Karimoğlu,1246060699
Guillaume-Isidore Baron de Montbel,1011997346
Gwon Sang-ha,1232027954
Henry Josiah Lightfoot Boston,1242154971
Ieu Koeus,1234647985
Ivan Bisyuk,1249219732
Ivan Demerdzhiev,1246703703
Ivan Mašek,1174219428
Joseph Hellon,1214516423
Joseph Lual Acuil,1063289231
Kamal Ahmed (politician),1215486840
Ludovico Nogarola,1200149359
Lázaro Chiappe,1232135530
Michele Zanche,1218766336
Mohamad Fazli Mohamad Salleh,1218180353
Mohammad Shahcheraghi,1228962213
Mohammed Zia Salehi,1225457074
Muhammad Sharif (Kalifa),1174958200
Myriam Skaff,1234087608
Nay Myo Wai,1065794809
Nguyễn Duy Quý,1245479331
Olena Halushka,1233249695
"Pedro de Toledo Osorio, 5th Marquess of Villafranca",1185175145
Rexhai Surroi,1233858294
Sadak Omar Hassan,1218256927
Sardar Mohammad Nadir Naeem,1204109653
Sebastian Peregrin Zwyer,1234453204
Svatopluk Karásek,1174014061
Tahir Mirkishili,1210593900
Teodoro Willink Castro,1225813983
Theodoros Negris,1248921819
Toomas Sildmäe,1183340383
Victor Promontorio,1087110784
Yaşar Okuyan,1196341560
Yi Dong-hwi,1239842012
Zinda Kaboré,1240877157
Abu Bakar (Indonesian politician),1220128786
Adam Naseer Ibrahim,1226315175
Alberto Bosch y Fustegueras,1222273738
Altai Kölgınov,1248539098
Andriy Odarchenko,1247477202
Antonio Flores de Lemus,1069012803
Bislim Bajgora,1217284690
Brahim Merad,1244511083
Bulelani Lobengula,1240505790
Dalia Teišerskytė,1187388657
Dap Izaaks,1194709273
Demba Traoré (politician),1053499445
Dušan Salatić,1152346392
Fernando Eloy Guachalla,1239045289
Gabriel Entcha-Ebia,1246821116
Guillermo Morphy,1228639807
Hakija Hadžić,1230312593
Heinrich Fleißner,1069865479
Ibeth Estupiñán,1197438913
James Obita,994193575
Jean-Hilaire Aubame,1239996953
Jean Collins Musonda Kalusambo,1053665874
Josef Staribacher,1215186443
José Núñez de Cáceres,1245769290
João Cunha (politician),1100962574
Karel Havlík,1100828466
Kevin Ramnarine,1244729200
Khairin Nisa,1221940896
Laurent Dona Fologo,1128478844
Louay Hussein,1218353001
Luc Michel,1178923770
Luis A. Martínez,1230753198
Mark Lomunokol,1150187649
Mary Mawai,1202620554
Mohammed bin Saud Al Qasimi,1222566472
Muhammad Nimr al-Hawari,1233181500
Mumtaz Hasan Kizilbash,1108260069
Nyi Sein,1245373470
Patrick Assirvaden,1150521615
Philippe Daverio,1168519834
Rie Saito,1210726445
Roman Kostenko,1246289591
Salim al-Husayni,1242025951
Sasho Penov,1208372103
Shamsul Huda Panchbagi,1232199873
Tamaseu Leni Warren,1244203194
Themba Maseko,1246257695
Tinga Seisay,1227392405
Valiollah Rostaminejad,905601335
Xhelal Sveçla,1217259369
Abshir Aden Ferro,1249386156
Adam Bogosavljević,1231411435
Albino Aroso,965663617
Anamika Singh Patel,1250228285
Aram Grigoryan (politician),1214660921
Bandile Masuku,1209123522
Boureima Badini,1188858837
Carlos Fabra Carreras,1239574422
Dušan Jarjabek,1230180917
Fadrique Alvarez de Toledo y Ponce de León,1232331231
Father Samuel,1249920109
Felix Díaz Ortega,1202899562
Hafız Mehmet,1250622304
Hodaka Maruyama,1234250340
Imelde Sabushimike,1243757340
Ismet Popovac,1231812222
Jacques Antoine Creuzé-Latouche,1208378471
Jagadeeswari Thoyaka,1232659887
Jennifer Rojas,1245058533
John William Jagger,1164884865
Jules Repond,1208465181
Julia Kibubura,1184901339
Katsumi Yamauchi,1052003178
Lim Heon-yong,1242279237
Luis Melián Lafinur,946357029
Mahjoubi Aherdane,1244052254
Manuel Antonio Tocornal,1246583701
Mariano Moreno,1248788227
Mark Boris Andrijanič,1198352017
Mohamed bin Hadi Al Hussaini,1244074611
Mohammed bin Khalifa bin Ali Al Khalifa,1202322111
Nils Elowsson,1178838433
Oğuzhan Asiltürk,1220948663
Pap Cheyassin Secka,1247083871
Ramón Marrero Aristy,1196178615
Rustam Haidar,1248753664
Seyed Mostafa Mir-Shafiei,1169176621
Shamima Harun Lubna,1245374454
Song In,1232308072
Subhasnee,1154754342
Talal Aklan,1242218278
Thamanat Prompow,1245657040
Vicente Manuel de Céspedes,1247766081
Vincenzo Filonardi,1248587117
Virgilijus Čepaitis,1209842510
Vladimír Franz,1248620062
Vladimír Príkazský,1130269382
Yoshihiro Tokugawa,1166332404
İmran Kılıç,1239393595
Abdelkrim Benmbarek,1245801726
Abdulhussain bin Ali Mirza,1195787872
Ahmed Dino,1209165678
Aleksandr Potupa,1235204307
Alfonso Barrantes,1246360905
Ana Paula Chantre Luna de Carvalho,1209514022
Antoine Portail,1034304794
Edin Forto,1220369102
Enitan Badru,1212879104
Falih Al-Fayyadh,1249037944
Farkas Kovacsóczy,1081132142
Georgios Kourtoglou,1161584075
Getahun Mekuria,1209709210
Graciela Mandujano,1246581836
Heinrich Voelter,1130505690
Hirofumi Yoshimura,1239550672
Iván Marulanda,1185742882
Johan Gustaf Helin,1196284420
José Xavier de Cerveira e Sousa,1138433614
Juli Marial Tey,1182696836
Juneidi Basha,1234533615
Ludwig Georg Winter,1062661561
Mano Dayak,1241601548
Manuel María de Peralta y Alfaro,1221588507
Manuel Vicente,1250493481
Maïmouna Kane,1112938840
Medard Mulangala,1247424323
Mirza Rahmat Baig,1250597297
Mohamed Messaoud Chebbi,1250364062
Mohammad Barghouti,1237838783
Mohammed VI of Morocco,1250885775
Mohammed bin Khalifa Al Maktoum,1174785297
Mojtaba Bakhshipour,1218315840
Park Ju-won (politician),1239331399
Per Klarberg,1217619914
Presidency of Itamar Franco,1247855190
President of Haiti,1247861822
Rafael López Aliaga,1247375362
Ranabir Singh Thapa,1236926304
Rayan al-Kildani,1250626131
Rodrigo Lara,1250547066
Salim Jan Khan Mazari,1141279171
Santiago Gallo,1039135531
Sophon Suphapong,1056597902
Temesgen Tiruneh,1236566558
Tharcisse Renzaho,1103863452
Vyacheslav Khizhnyakov,1197254982
Wangdi Norbu,1226646329
Yassir Znagui,1244051523
Yoshida Shōin,1242366378
Abel Chivukuvuku,1165626565
Alaksandar Dubko,1173907794
Albert Kostanian,1184196053
Alcibiades Diamandi,1225731455
Arjun Singh Bamniya,1242619180
Avraham Rakanti,1226946571
Bishal Khadka,1210988854
Claudio Vicuña Subercaseaux,1240166459
David Mkhwanazi,1247715431
Edward Ikem Okeke,1141350487
Elliott Belgrave,1242611945
Evgeniy Udod,1246967830
Faustina Fernandes Inglês de Almeida Alves,1209514085
Federico Villarreal,1231617134
Fernando Faustino Muteka,1241977176
Friedrich von Gentz,1248790750
Hafiz Saeed,1250457255
Hans Paasche,1240891443
Hildebrando Pascoal,1088472912
Ibrahim Artan Ismail,1243243246
Ivica Puljak,1242200734
José Múcio,1218280310
Kayssar Moawad,972676618
Khandu Wangchuk,1225408958
Laxman Rajbanshi,1092220542
Liou Chen Kuang,1217527148
Louis Lareng,1172945590
Mahamane Haidara,1177650454
Mahmadali Hayit,1177322940
Manuel Villacorta,1220669085
Mihai Severovan,1232778342
Momulu Massaquoi,1246152230
Muhammad Bayazeed Khan Panni,1225060231
Máximo Etchecopar,1243279888
Namgay Tshering,1226645464
Nasser Bourita,1243832858
Nikollë Bojaxhiu,1242533891
Oba C. D. Akran,1140518309
Park Eun-sik,1243516247
Park Won-jong,1238769506
Richard Bamisile,1177423765
Robert Victor Evan Wong,1224213889
Rufai Hanga,1242932427
Sergey Verlin,1156541234
Sharif Mohamed,1244941090
Simeo Muwanga Nsubuga,1246243626
Solomon Christoffel Obeyesekere,1182990163
Viktor Rashnikov,1225909403
Xavier de Fürst,1248011706
Óscar López (politician),1223311224
Abd al-Sattar Qasim,1189278545
Abdellah Kadiri,1246403569
Abraão Vicente,1213485569
Antoine Brun,1179322005
Anxious Masuka,1247106176
Arsenije Sečujac,1246835742
Bai Kelfa Sankoh,1163409287
Balys Gajauskas,1226927031
Beatrice Kiraso,1244947350
Chirri Balaraju,1232091907
Ciokaraine M'Barungu,1193550529
Demetrio Castillo Duany,1243523096
Driss Benzekri (activist),1244051602
Ek Raj Karki,1241622160
Emery Wafwana,1092371503
Eric Lawson (politician),1103173015
Fabian Jones,1247632282
Fernando Heydrich,1234517177
Gundaker Thomas Starhemberg,1246777408
Hiroshi V. Yamamura,1184975727
Hristo Petrov,1242211308
Ibnu Sutowo,1233388786
Japie Basson,1216786719
Jean-Claude Baende,1240112055
Jean Cotereau,1204915513
Jerzy Rutkowski,1223944550
John Andrew King,1191591712
Juan Carlos Esguerra Portocarrero,1246255193
Kenneth Okonkwo,1246220072
Luis Gabriel Portillo,1245598382
Luqman Oyebisi Ilaka,1243032430
Ma'ruf al-Rusafi,1241586052
Marcel Inné,1231186682
Mariam Mahamat Nour,1179344861
Massoud Achkar,1178454897
Mohamed Hechmi Hamdi,1245975915
Muanda Nsemi,1244131957
Mykhailo Korolenko,1245463505
Oli Ahad,1247061966
Omar Prieto,1232134990
Pedro María León-Páez y Brown,1239281067
Sandra Delannoy,1235911333
Shenella Mary Shadida Govia,1241563138
Tahseen Said,1243491065
Themba Masuku,1248422415
Thulasizwe Thomo,1242055258
Toleʻafoa Solomona Toʻailoa,1244203105
Ángel Flisfisch,1238013543
Đuro Šurmin,1244827930
Ľudovít Štúr,1245572786
Aleksandr Shlyakhturov,1225906656
Alexander Grigoryev,1192660288
Ali Olanusi,1158721985
Anas Doukkali,1245329508
Anatoĺ Kalinin,1224032323
András Fáy,1227415124
Antonio Roldán Betancur,1221854205
Bajram Kelmendi,1237006808
Balal Mohamed Osman,1229646022
Bertrand Bisimwa,1209006607
Blahsue Vonleh,1158703245
Bongani Baloyi,1244353459
Branislav Andjelić,1216083276
Desejado Lima da Costa,1200012565
Felipe Hinestrosa Ikaka,1243089428
"Francisco Xavier da Silva Pereira, 1st Count of Antas",1230600835
Gerardo Gómez Ramírez,1192619706
Hakija Pozderac,1184510646
Jakob Stark,1244058343
Jan Mączyński,1248850324
Janusz Rewiński,1228652351
Jennifer Lasimbang,1248703003
Jorge Radhamés Zorrilla Ozuna,1196364434
Juan Everardo Nithard,1245200718
Juan Vicente Moscoso,1245769154
Ján Francisci-Rimavský,1243155672
Kang Yong-suk,1211216893
Katsutoshi Kaneda,1227857563
Khalifa Haftar,1250643095
Lamine Bechichi,1111537825
Manuel Cipriano Dulanto,1225786332
Michael Tellinger,1177406709
Michael Usi,1250758277
Mohamed Shidiye,1246062471
Narciso Matus Torres,1245236941
Ricardo Bueso,1145140846
Ricardo Cobo,1244437288
Stefan Bobrowski,1249611620
Stojan Simić,1222137325
Svetozar Marković,1250714865
Teófilo Duarte,1247752897
Tomás Allende,1225374044
Većeslav Wilder,1243528111
Vicky Colbert,1246254698
Wang Liyan,1243521667
William Coe (governor),1244368584
William of Capparone,1243032688
Ziauddin (Afghan militia leader),1150044800
Zoltán Cséfalvay,1177400698
Zukhriatul Hafizah Muhammad,1246427809
Adrijana Hodžić,1241300455
Akinwumi Adesina,1246502980
Andrey Derevyankin,1225586422
Boubacar Alpha Bah,1229918902
Bùi Tiến Dũng (politician),1209293575
Carl Fabian Langenskiöld,1246601762
Carlos Afu,1179631463
Charlemagne de Maupas,1058537657
Cho Man-sik,1246094438
Choi Jong-won,1243716877
Denis Clavel,1242211544
Dragan Andrić (politician),1215341163
Ebrahim Matinian,1228961023
Eduard Smirnov,1232778549
Elshad Mirbashir oghlu,1194162044
Ferdinand Mannlicher,1250188481
Friedrich Wilhelm von Haugwitz,1215043658
Helder Francisco Malauene,1065685422
Hugo Jury,1225140706
Ivan Collendavelloo,1224035151
Jaime Quijandría Salmón,1247691970
Javier Simán,1242201651
Jeremiah Kasambala,1214791663
Lodewijk Verreycken,1235733819
M. M. Rahmatullah,1242580877
Marcel Zadi Kessy,1171961445
Mariano Zufía Urrizalqui,1231889136
María Sol Corral,1244050054
Mirghani Alnasri,1232037123
Nabeel Yasin,1187162446
Ndioro Ndiaye,1229876012
Nkechi Ikpeazu,1235151881
Prasanna Gunawardena,1165316165
Rosen Plevneliev,1243979008
Sadyk Sher-Niyaz,1246169984
Saftar Jafarov,1222623261
Simon Makwac Mayen,1142717629
Soraya Mouloudji,1226335614
Ssendi Mosh Afrikan,1221217129
Stanisław Tarnowski,1194249571
Svetozar Pribićević,1244954755
Talaat Sadat,1203826601
Timo Furuholm,1244928673
Vasyl Poraiko,1213107063
Vito Nunziante,1229548831
Vladislav Panev,1236796256
Vugar Mustafayev (minister),1208077047
Vítor Alves (soldier),1235684279
Zakir Hasanov,1224596001
Zoltán Böszörmény,1181454060
Abduhalim Nazarzoda,1244341302
Abdullah bin Hamad bin Isa Al Khalifa,1241499929
Abubakar Tafawa Balewa,1250135459
Ali Algadri,1229864427
Alieu Badara Njie,1249462265
Andre Sothern Holland,1203015285
Arlete Chimbinda,1177486404
As'ad Shukeiri,1233217410
Buenaventura Macabeo Maldonado Vivas,1231707762
Camille Blanc,1247535187
Chet Narayan Acharya,1240717301
Curt Wach,1227609154
Dagmar Burešová,1193622801
Fernand Hibbert,1144570454
Fernando Balda,1228185867
Gerhard Pfanzelter,1238011369
Hemed Khamis,1065741571
Henry Alcazar,1248439386
Ida Karkiainen,1229897409
Ikhtiyar Shirinov,1243510572
Ith Samheng,1246668602
Jelka Miličević,1208917045
Josef Václav Frič,1221494976
Louis Hunkanrin,1212917164
Mahmood Al Bahrani,1161492589
Mian Muhammad Shahnawaz,1214592851
Mihail Manoli,1232772683
Modupe Irele,1193042351
Mohamed Warsama Ragueh,1180804922
Movsum Samadov,1241255046
Muhammad Hashim Esmatullahi,949986748
Mulfachri Harahap,1173129522
Munga Mibindo,1058408130
Neda Imasuen,1246220457
Petru Comendant,1226754329
Ram Chandra Poudyal,1247962023
Sagheer Hamoud Aziz,1247681445
Salem al-Meslet,1233316986
Samuel Frey,1245557114
Saud Kanoo,1098699647
Sergei Tiulpanov,1219968086
Simon Doria,1216799594
Thiounn,1178861440
Tsepo Mzonethi,1240673245
Tui Manuʻa Elisala,1161001032
Yi Ryang,1235740706
Zenon Klemensiewicz,1242881006
Zheng Kezang,1234135483
Émile Mokoko Wongolo,1221206415
Živko Bertić,1238706131
Abdulkadir Sheikh Sakhawudeen,1249819962
Ademaga Mešić,1227059736
Ahmed bin Rashid Al Maktoum,1233797941
Alexander Bekovich-Cherkassky,1249853665
Aminul Islam Rabel,1245379837
André Matsoua,1247163377
Cha Myong-jin,1248053978
Chuwit Chitsakul,1067190867
Devaki Krishnan,1205996149
Earnest Mudzengi,1246271197
Facinet Touré,1190559256
Gen Nakagawa,1162268649
Gypsy (calypsonian),1189251189
Gérard Montassier,1224351881
Habtamu Tegegne,1209709278
Herman Hembe,1149491450
Hermann Heller (legal scholar),1244979496
Husayn Thabit,1237255469
Jamal Kakakhel,1081294446
James Carlisle,1242152285
Jee Man-won,1214758329
José María de Peralta,1232063930
Julio Martinez Acosta,1197437642
Kamel Bidari,1249963763
Klemen Boštjančič,1218026356
Ljiljana Beronja,1215345234
Loreto Silva,1235451028
Mamadou Bamba Ndiaye,1180233069
Manuel Felipe Rugeles,1208177120
Marc Hansen (politician),1185355523
Mario Oriani-Ambrosini,1218079952
Michele Angelo Cianciulli,1185179221
Miguel Larreynaga,1229927077
Murade Isaac Murargy,1041131952
Musa Hotak,1246566804
Nalini Weerawanni,1239993755
Narciso Esquivel y Salazar,1220760182
Owen Ncube,1246242012
Pablo Prieto,1246582394
Patrick Rajoelina,1207299094
Phan Anh,1224595790
Pierre Mabiala,1146545045
Prince Sozisa Dlamini,1195787180
Remzi Çayır,1214244776
Risto Gjorgjiev,1173912802
Seth Kikuni,1243865684
Tecla Tum,1138169422
Tofazzal Hossain Manik Miah,1235606534
Yoshitoki Sugitani,1224853051
Draft:Guled Bihi Abdi,1241700679
Abdeslam Bouchouareb,1203569345
Adel Zawati,1233403898
Ahmed ibn Abi Mahalli,1224487470
Ali Isa,1240307688
Atanazy Miączyński,1245229298
Augustino Jadalla Wani,1222765171
Bishop Philip Abbas Ghaboush,1185627983
Catherine Fautrier,1219297450
Chato Galante,1226438941
Chaudhry Abdul Rehman Khan,1224955194
Chedly Ayari,1246267692
Dragan Vikić,1242397174
Francesca Romana D'Antuono,1238093134
Franciszek Dąbal,1209995791
George Messiha,1065964569
Guilherme d'Oliveira Martins,1181160123
Hamisu Musa,1240396139
Heino Sisask,1241969242
Jean-Baptiste Ouédraogo,1241452397
Jean Richardot the Younger,1143555621
José Adriano Pequito Rebelo,1231371592
José Filomeno dos Santos,1228399791
José Pacheco (politician),1243317851
Julián Serulle,1225691930
Karl Theodor Bayrhoffer,1137678089
Kemal Ademović,1242412154
Kurugondla Ramakrishna,1230863495
Luis Villar Borda,1245234958
Manuel Frasquilho,1143138636
Miguel Peña (politician),1228343895
Miguel Romero (activist),1069043798
Mohamed Hussein Jama,1187600994
Mohamed Masmoudi,1227259218
Mohammad Iqbal Omar,1138228456
Moin Uddin (politician),1245374542
Nazario Toledo,1144305699
Ngoun Chhay Kry,1243811027
Oscar Mollohuanca,1212494983
Oscar Salomón (politician),1219775470
Othman Kechrid,1098427519
Paul Paul,1215924661
Peter Safari Shehe,1246062468
Peter Tsiamalili,1250770249
Ramón A. Chaparro,1219281849
Ririkumutima,1233102698
Robert Manuel (politician),1244197773
Teerakiat Jaroensettasin,1241986465
Ursula Zybach,1244066228
Yacine Diallo,1157228808
Zaw Htay,1220263916
Abdullahi Abdi Omar,1167729311
Ali Salih al-Sa'di,1250777326
An Kyung-duk,1215785399
Anisia Achieng,1223223050
Auguste Couvreur,1058540061
Bertram von Sturm,1146695614
Catherine Ruge,1104077288
Debendra Nath Ghosh,1240939624
Duwa Lashi La,1250281251
Fakhri Kawar,1250249725
Farshad Ebrahimpour Nourabadi,1242193732
Fred Mwesigye,1246243407
Frédéric Guirma,1196782670
Georgios Romeos,1240228353
Habibar Rahman,1245395381
Italo Righi,1242868787
Ivan Stanchov,1189228353
Iwakura Tomomi,1230191168
Janet Akinrinade,1191877008
Jean-Louis Annecy,1232824556
Jean-Pierre Hocké,1244057824
Jimmy Ståhl,1239749367
Jorge Eduardo Londoño,1245235971
Jozef Regec,1215884348
Julius Tandler,1153989705
Kim Choong-soo,1210984562
Kim Jong-hoe,1248054399
Kirsi Piha,1011166320
Laura Raffo,1232440725
Luis Alarcón de la Lastra,1212186504
Luis Méndez de Haro,1243477890
Mahboba Hoqomal,1243745950
Max von Oppenheim,1240981396
Maxwell Zeb Shumba,1246242430
Mirko Tepavac,1243511560
